,topic_modeling.algorithm,topic_modeling.feature,topic_modeling.cluster_model,topic_modeling.num_topics,Coherence,Perplexity
21,lda,bow,None,3.0,0.47570581509357474,-7.219745516079852
56,lda,bow,models/bert_hierarchical.pkl,3.0,0.4761063203318791,-7.464844436280704
61,lda,bow,models/bert_kmeans.pkl,3.0,0.501345880074797,-7.22849294326107
16,nmf,bow,None,3.0,0.48502268344468313,None
46,nmf,bow,models/bert_hierarchical.pkl,3.0,0.49152825139447653,None
51,nmf,bow,models/bert_kmeans.pkl,3.0,0.509486369366561,None
11,lda,tfidf,None,3.0,0.4679514667623208,-8.837215383386143
36,lda,tfidf,models/bert_hierarchical.pkl,3.0,0.41105876337666075,-9.394313670406683
41,lda,tfidf,models/bert_kmeans.pkl,3.0,0.4525866658012733,-9.017826077462153
6,nmf,tfidf,None,3.0,0.5721421312510021,None
26,nmf,tfidf,models/bert_hierarchical.pkl,3.0,0.4468308674769448,None
31,nmf,tfidf,models/bert_kmeans.pkl,3.0,0.5311984513175267,None
20,lda,bow,None,6.0,0.47446029550220153,-7.289030782799274
55,lda,bow,models/bert_hierarchical.pkl,6.0,0.4604616666780735,-7.554857047149343
60,lda,bow,models/bert_kmeans.pkl,6.0,0.47372058876137024,-7.2894487198555264
15,nmf,bow,None,6.0,0.510972027776326,None
45,nmf,bow,models/bert_hierarchical.pkl,6.0,0.5083767821750519,None
50,nmf,bow,models/bert_kmeans.pkl,6.0,0.5272191211540569,None
10,lda,tfidf,None,6.0,0.5375547851418955,-9.337664639023444
35,lda,tfidf,models/bert_hierarchical.pkl,6.0,0.39441990199966365,-10.00735038259373
40,lda,tfidf,models/bert_kmeans.pkl,6.0,0.4426488667259799,-9.538468580423842
5,nmf,tfidf,None,6.0,0.5463317669555946,None
25,nmf,tfidf,models/bert_hierarchical.pkl,6.0,0.4742923993986941,None
30,nmf,tfidf,models/bert_kmeans.pkl,6.0,0.5379468836475572,None
19,lda,bow,None,9.0,0.47774969251211247,-7.4551042038764885
54,lda,bow,models/bert_hierarchical.pkl,9.0,0.4427926744944754,-7.6786333452201765
59,lda,bow,models/bert_kmeans.pkl,9.0,0.45809219543547164,-7.461105056239109
14,nmf,bow,None,9.0,0.4838309474812956,None
44,nmf,bow,models/bert_hierarchical.pkl,9.0,0.48342179114055917,None
49,nmf,bow,models/bert_kmeans.pkl,9.0,0.5077724161947729,None
9,lda,tfidf,None,9.0,0.5559004793472276,-9.92533340004364
34,lda,tfidf,models/bert_hierarchical.pkl,9.0,0.4488434154201311,-10.568528295994492
39,lda,tfidf,models/bert_kmeans.pkl,9.0,0.445711280780542,-10.124015023083313
4,nmf,tfidf,None,9.0,0.537976980836087,None
24,nmf,tfidf,models/bert_hierarchical.pkl,9.0,0.45558407730790135,None
29,nmf,tfidf,models/bert_kmeans.pkl,9.0,0.5009140882955767,None
0,nmf,tfidf,None,10.0,0.5135525107554813,None
1,nmf,tfidf,models/bert_kmeans.pkl,10.0,0.5135525107554813,None
18,lda,bow,None,12.0,0.48880206896399087,-7.750768705138337
53,lda,bow,models/bert_hierarchical.pkl,12.0,0.43192234721870343,-7.846372067226663
58,lda,bow,models/bert_kmeans.pkl,12.0,0.45075022998269787,-7.683811566572571
13,nmf,bow,None,12.0,0.4869357070009576,None
43,nmf,bow,models/bert_hierarchical.pkl,12.0,0.463420883659766,None
48,nmf,bow,models/bert_kmeans.pkl,12.0,0.494939044306376,None
8,lda,tfidf,None,12.0,0.49757115186681594,-10.740607108249941
33,lda,tfidf,models/bert_hierarchical.pkl,12.0,0.4740639697750408,-11.189325314485588
38,lda,tfidf,models/bert_kmeans.pkl,12.0,0.5019594143072272,-10.797924059560913
3,nmf,tfidf,None,12.0,0.5165620830847386,None
23,nmf,tfidf,models/bert_hierarchical.pkl,12.0,0.42659466670269647,None
28,nmf,tfidf,models/bert_kmeans.pkl,12.0,0.482794719250054,None
17,lda,bow,None,15.0,0.47124971865208454,-7.940670306351127
52,lda,bow,models/bert_hierarchical.pkl,15.0,0.42940037431439954,-7.966103943359205
57,lda,bow,models/bert_kmeans.pkl,15.0,0.4563170699570415,-7.828172339507931
12,nmf,bow,None,15.0,0.49889660402068386,None
42,nmf,bow,models/bert_hierarchical.pkl,15.0,0.47888315623929634,None
47,nmf,bow,models/bert_kmeans.pkl,15.0,0.51528199561965,None
7,lda,tfidf,None,15.0,0.5548568539114108,-11.307758684499657
32,lda,tfidf,models/bert_hierarchical.pkl,15.0,0.46949440550172805,-11.759567185160215
37,lda,tfidf,models/bert_kmeans.pkl,15.0,0.5116570297669768,-11.332472419125693
2,nmf,tfidf,None,15.0,0.538312559357131,None
22,nmf,tfidf,models/bert_hierarchical.pkl,15.0,0.46376225775314756,None
27,nmf,tfidf,models/bert_kmeans.pkl,15.0,0.517973954233496,None
